Type	Abbreviation	Variable	IssueCategory	PolicyObjective	Weight	Description
Indicator	PAE	Protected Area Effectiveness	Biodiversity & Habitat	Ecosystem Vitality	0.50%	This pilot indicator measures the percentage of a country's terrestrial protected areas in which the area of croplands and buildings is increasing by more than 0.5% per year. 
Indicator	PHL	Protected Human Land	Biodiversity & Habitat	Ecosystem Vitality	0.50%	This pilot indicator measures the percentage of the total terrestrial area protected in a country that is covered by croplands and buildings.
Indicator	RLI	Red List Index	Biodiversity & Habitat	Ecosystem Vitality	3.00%	"The Red List Index (RLI) tracks the overall extinction risk for species in a country, weighting species by the fraction of their range occurring within the country or region. A score of 100 indicates that none of the evaluated species in the country is threatened, while a score of 0 indicates a very high average extinction risk (≤5th-percentile of RLI values)."
Indicator	SHI	Species Habitat Index	Biodiversity & Habitat	Ecosystem Vitality	2.00%	"The Species Habitat Index (SHI) measures the proportion of suitable habitats for a country's species that remain intact, relative to a baseline set in the year 2001. While the SHI can be calculated for single species, Map of Life aggregates these metrics into a single score, with each species weighted according to the proportion of their global range that is found within the country. This weighting scheme encourages countries to take special care to ensure the protection of rare or endemic species. The SHI serves as a proxy for potential population losses and the extinction risk to individual species. A score of 100 indicates that a country has experienced no habitat loss since the year 2001, and a score of 0 indicates the worst levels of habitat loss."
Indicator	BER	Bioclimatic Ecosystem Resilience	Biodiversity & Habitat	Ecosystem Vitality	0.50%	"The Bioclimatic Ecosystem Resilience Index (BERI) measures the capacity of natural ecosystems to retain species diversity in the face of climate change, as a function of ecosystem area, connectivity and integrity. This metric is calculated by CSIRO based on land use maps and species occurrence data. "
IssueCategory	ECS	Forests		Ecosystem Vitality	5.00%	"The Forests issue category (previously called ""Ecosystem Services"") measures trends in area and integrity of countries' forests. It includes five indicators: loss of humid tropical primary forests, loss of intact forest landscapes, lasting tree cover loss, net change in tree cover, and the Forest Landscape Integrity Index. Only countries that had more than 10 percent tree cover in 2000 are scored in these indicators."
Indicator	PFL	Primary Forest Loss	Forests	Ecosystem Vitality	1.50%	Humid tropical primary forests are the most biodiverse terrestrial ecosystems on the planet and provide irreplaceable ecosystem services. This indicator measures annual losses of tree cover in these critical ecosystems relative to their extent in 2001.
Indicator	IFL	Intact Forest Landscape Loss	Forests	Ecosystem Vitality	1.50%	"Intact forest landscapes are large and pristine mosaics of forests and naturally treeless ecosystems and play a disproportionate role storing carbon, harboring biodiversity, and providing many other ecosystem services. This indicator measures annual losses of tree cover in these critical expanses of pristine forests relative to their extent in 2001."
Indicator	FCL	Tree cover loss weighted by permanency	Forests	Ecosystem Vitality	1.25%	"Not all tree cover loss is the same. Depending on what drives tree cover loss, forests have different likelihoods of regrowing in the short to medium term. With some drivers, such as urbanization and commodity driven deforestation, deforestation is typically permanent. With others, such as wildfires and forestry operations, tree cover typically starts recovering almost immediately after being lost. This indicator quantifies “lasting” tree cover loss by partially discounting losses that are likely to be transient and/or more difficult for governments to control (e.g., losses due to wildfires)."
Indicator	TCG	Net change in tree cover	Forests	Ecosystem Vitality	0.50%	"Forest landscapes are highly dynamic, and tree cover losses are often followed by regrowth or bal-anced by growth elsewhere. This indicator quantifies the net percent change in tree cover between 2000 and 2020."
Indicator	FLI	Forest Lanscape Integrity	Forests	Ecosystem Vitality	0.25%	"Going beyond measuring changes in tree cover, this indicator estimates the integrity of forest landscapes based on observed and inferred human disturbances and losses of forest connectivity. "
IssueCategory	FSH	Fisheries		Ecosystem Vitality	2.00%	"The Fisheries issue category measures the health and sustainability of the world’s fisheries. It is made up of five indicators: fish stock status, fish catch discarded, fish caught by bottom trawling and dredging (domestically and across the global ocean), and the marine trophic index. Since data is only available for marine fisheries, landlocked countries are not scored in these indicators. "
Indicator	FSS	Fish Stock Status	Fisheries	Ecosystem Vitality	0.30%	"Fish stock status is the percentage of a country’s total catch that comes from overexploited or collapsed stocks, considering all fish stocks within a country’s exclusive economic zone (EEZs). Because continued and increased stock exploitation leads to smaller catches, this indicator sheds light on the impact of a fishing practices within its EEZs. A score of 100 indicates that none a country's fish catch come from stocks that are overexploited or collapsed, and a score of 0 indicates worst performance. Data come from the Sea Around Us."
Indicator	FCD	Fish Catch Discarded	Fisheries	Ecosystem Vitality	0.40%	"The proportion of a country’s total catch in the global ocean that is discarded, instead of landed and used. This indicator serves as a proxy of bycatch and thus of untargeted and wasteful fishing practices. A score of 100 indicates that none a country's fish catch is discarded, and a score of 0 indicates worst performance. Data come from the Sea Around Us."
Indicator	BTZ	Bottom Trawling in EEZ	Fisheries	Ecosystem Vitality	0.50%	"The proportion of the total catch in a country’s exclusive economic zone(s) caught by any country using bottom trawling and dredging. This indicator measures whether countries allow bottom trawling in the marine regions under their jurisdiction. A score of 100 indicates that no fish is caught with bottom trawling inside a country's exlusive economic zone(s), and a score of 0 indicates worst performance. Data come from the Sea Around Us."
Indicator	BTO	Bottom Trawling in Global Ocean	Fisheries	Ecosystem Vitality	0.70%	"The proportion of a country’s total catch across the global ocean caught by bottom trawling and dredging. This indicator measures how much countries use bottom trawling, either in their own waters, those of other countries, or in the high seas. A score of 100 indicates that the country catches no fish  with bottom trawling, and a score of 0 indicates worst performance. Data come from the Sea Around Us."
Indicator	RMS	Regional Marine Trophic Index	Fisheries	Ecosystem Vitality	0.10%	"A measurement of how fast the trophic level of fish stocks changed over the last decade. The decline of the trophic level of fish catches is a phenomenon commonly known as “fishing down the food web”. A score of 100 indicates that the mean trophic level increased 0.015 per year over the last decade, and 0 indicates it decreased 0.015 per year. "
IssueCategory	APO	Air Pollution		Ecosystem Vitality	6.00%	"The Air Pollution issue category (previously called ""Acid Rain"") measures countries' contribution and exposure to air pollution. It consists of two indicators measuring trends in the emissions of acid rain precursors (sulfur dioxide and nitrogen oxides), and two pilot indicators measuring exposure to ground-level ozone in a country's croplands and Key Biodiversity Areas."
Indicator	OEB	Ozone exposure KBAs	Air Pollution	Ecosystem Vitality	0.50%	"As a proxy of ozone pollution effects on biodiversity, this pilot indicator measure the average ground-level concentration of ozone across a country’s Key Biodiversity Areas. A score of 100 indicates low ozone concentrations (≤5th percentile), and a score of 0 indicates KBAs exposed to some of the highest (≥95th-percentile) concentrations of ground-level ozone worlwide."
Indicator	OEC	Ozone exposure croplands	Air Pollution	Ecosystem Vitality	0.50%	"As a proxy of ozone pollution effects on crop productivity, this pilot indicator measures the average ground-level concentration of ozone across a country’s croplands. A score of 100 indicates low ozone concentrations (≤5th percentile), and a score of 0 indicates croplands exposed to some of the highest (≥95th-percentile) concentrations of ground-level ozone worlwide."
Indicator	NXA	Adjusted emissions growth rate for nitrous oxides	Air Pollution	Ecosystem Vitality	2.50%	"We measure the average annual rate of nitrogen oxides emissions over the years 2013 to 2022 and adjust for economic trends to isolate change due to policy effort rather than economic fluctuation. A score of 100 indicates a country is cutting emissions by ≥3.94% per year, and a score of 0 indicates that a country has among the worst (≥95th-percentile) rates of emissions growth in the world."
Indicator	SDA	Adjusted emissions growth rate for sulfur dioxide	Air Pollution	Ecosystem Vitality	2.50%	"We measure the average annual rate of sulfur dioxide emissions over the years 2013 to 2022 and adjust for economic trends to isolate change due to policy effort rather than economic fluctuation. A score of 100 indicates a country is cutting emissions by ≥3.94% per year, and a score of 0 indicates that a country has among the worst (≥95th-percentile) rates of emissions growth in the world. "
IssueCategory	AGR	Agriculture		Ecosystem Vitality	3.00%	"The Agriculture issue category measures efforts to produce food and other agricultural products while minimizing the threats of agriculture to the environment. It is based on four indicators: the Sustainable Nitrogen Management Index (SNMI), Relative Yield Index, pesticide pollution risk, and phosphorus surplus."
Indicator	SNM	Sustainable Nitrogen Management Index	Agriculture	Ecosystem Vitality	1.20%	"The Sustainable Nitrogen Management Index (SNMI) seeks to balance efficient application of nitrogen fertilizer with maximum crop yields as a measure of the environmental performance of agricultural production. The 2024 EPI uses the SNMI as a proxy for agricultural drivers of environmental damage. A score of 100 indicates that a country is optimizing both crop yields and fertilizer application, and a score of 0 indicates a country has among the worst performance on the SNMI. Data supporting this metric come from FAOSTAT crop nutrient budget database."
Indicator	PSU	Phosphorus Surplus	Agriculture	Ecosystem Vitality	0.10%	"The difference between phosphorus inputs (as fertilizer) and outputs (as harvested crops), as a proxy of excessive phosphorus fertilizer use that can contribute to the eutrophication of water bodies. A score of 100 indicates no surplus, while a score of 0 indicates worst performance. "
Indicator	PRS	Pesticide Pollution Risk	Agriculture	Ecosystem Vitality	0.50%	"The risk agricultural pesticide pollution to biodiversity. A score of 100 indicates minimal risk, and a score of 0 indicates worst performance. "
Indicator	RCY	Relative Crop Yield	Agriculture	Ecosystem Vitality	1.20%	"The average yield of 17 major crops, weighted by area harvested, relative to the maximum attainable yield in a given climate based on historical data. A score of 100 indicates full yield gap closure, and a score of 0 indicates worst performance. "
IssueCategory	WRS	Water Resources		Ecosystem Vitality	5.00%	"The Water Resources issue category measures the extent to which humans are mitigating our threats to aquatic ecosystems through the generation and mismanagement of wastewater. It consists of four indicators: wastewater generation, collection, treatment, and reuse. "
Indicator	WWG	Wastewater generated	Water Resources	Ecosystem Vitality	0.50%	"Total amount of municipal wastewater generated per person each year. A score of 100 indicates the country has one of the lowest (≤5th percentile) rates of wastewater generation in the world, and a score of 0 indicates one of the highest (≥95th-percentile)."
Indicator	WWC	Wastewater collected	Water Resources	Ecosystem Vitality	2.00%	Percentage of wastewater collected for treatment. Sometimes measured as the percentage of the population connected to urban or independent wastewater treatment facilities. 
Indicator	WWT	Wastewater treated	Water Resources	Ecosystem Vitality	2.00%	Percentage of wastewater that undergoes at least primary treatment.
Indicator	WWR	Wastewater reused	Water Resources	Ecosystem Vitality	0.50%	"Percentage of wastewater reused after treatment, either for irrigation in agriculture or, when clean enough, in industry or as drinking water. "
PolicyObjective	HLT	Environmental Health			25.00%	"The Environmental Health policy objective measures how well countries are protecting their populations from environmental health risks. It comprises 25% of the total EPI score and is made up of four issue categories: Air Quality, Sanitation & Drinking Water, Heavy Metals, and Waste Management."
IssueCategory	AIR	Air Quality		Environmental Health	17.00%	"The Air Quality issue category measures the impacts of air pollution on human health in each country. It consists of seven indicators: anthropogenic PM2.5 exposure, household solid fuels, ozone exposure, nitrogen oxides exposure, sulfur dioxide exposure, carbon monoxide exposure, and volatile organic compound exposure."
Indicator	HPE	Anthropogenic PM2.5 exposure 	Air Quality	Environmental Health	6.50%	"We measure the exposure to fine particulate matter (PM2.5) from satellite-derived ground-level measurements weighted by population density. We exclude the population-weighted fraction of exposure to PM2.5 from windblown dust, seaspray, and other natural sources of air pollution. A score of 100 indicates exposure to an average annual concentration below 2.5 micrograms per cubic meter (half of the World Health Organization's guideline), and a score of 0 indicates exposure to some of the highest concentrations of PM2.5 in the world (≥95th-percentile)."
Indicator	HFD	Household solid fuels	Air Quality	Environmental Health	6.50%	"We measure household solid fuels using the number of age-standardized disability-adjusted life-years lost per 100,000 persons (DALY rate) due to exposure to household air pollution from the use of household solid fuels. A score of 100 indicates a country has a DALY rate of 0.05, while a score of 0 indicates a DALY rate of 10,000. Data for this indicator come from the Global Burden of Disease (GBD) study of the Institute for Health Metrics & Evaluation (IHME). "
Indicator	OZD	Ozone exposure	Air Quality	Environmental Health	1.50%	"We measure ozone exposure using the number of age-standardized disability-adjusted life-years lost per 100,000 persons (DALY rate) due to exposure to ground-level ozone pollution. A score of 100 indicates a country has a DALY rate of 1, while a score of 0 indicates a DALY rate of 250. Data for this indicator come from the Global Burden of Disease (GBD) study of the Institute for Health Metrics & Evaluation (IHME). "
Indicator	NOD	NO2 exposure	Air Quality	Environmental Health	1.00%	"We measure nitrogen dioxide exposure using the number of age-standardized disability-adjusted life-years lost per 100,000 persons (DALY rate) due to exposure to ground-level nitrogen dioxide pollution. A score of 100 indicates a country has among the lowest DALY rates in the world (≤5th-percentile), while a score of 0 indicates a country is among the highest (≥99th-percentile). Data for this indicator come from the Global Burden of Disease (GBD) study of the Institute for Health Metrics & Evaluation (IHME). "
Indicator	SOE	SO2 exposure	Air Quality	Environmental Health	0.50%	"We measure exposure to ground-level sulfur dioxide using a country’s ambient ground-level concentration. The pollutant concentration is population-weighted to better capture the exposure levels in geographic areas with a higher human population density. A score of 100 indicates a country has among the lowest exposure  in the world (≤5th-percentile), while a score of 0 indicates a country is among the highest (≥99th-percentile). "
Indicator	COE	CO exposure	Air Quality	Environmental Health	0.50%	"We measure exposure to ground-level carbon monoxide using a country’s ambient ground-level concentration. The pollutant concentration is population-weighted to better capture the exposure levels in geographic areas with a higher human population density. A score of 100 indicates a country has among the lowest exposure  in the world (≤1st-percentile), while a score of 0 indicates a country is among the highest (≥99th-percentile)."
Indicator	VOE	VOC exposure	Air Quality	Environmental Health	0.50%	"We measure exposure to ground-level volatile organic compounds using a country’s ambient ground-level concentration. The pollutant concentration is population-weighted to better capture the exposure levels in geographic areas with a higher human population density. We estimate volatile organic compounds as the summed concentration of ethane, propane, formaldehyde, and isoprene. A score of 100 indicates a country has among the lowest exposure  in the world (≤5th-percentile), while a score of 0 indicates a country is among the highest (≥99th-percentile)."
IssueCategory	H2O	Sanitation & Drinking Water		Environmental Health	5.00%	The Sanitation & Drinking Water issue category measures how well countries protect human health from environmental risks on two indicators: unsafe drinking water and unsafe sanitation.
Indicator	USD	Unsafe sanitation 	Sanitation & Drinking Water	Environmental Health	2.00%	"We measure unsafe sanitation using the number of age-standardized disability-adjusted life-years lost per 100,000 persons (DALY rate) due to their exposure to inadequate sanitation facilities. A score of 100 indicates a country has among the lowest DALY rates in the world (≤1st-percentile), while a score of 0 indicates a country is among the highest (≥99th-percentile). Data for this indicator come from the  Institute for Health Metrics & Evaluation’s (IHME) Global Burden of Disease (GBD) study."
Indicator	UWD	Unsafe drinking water	Sanitation & Drinking Water	Environmental Health	3.00%	"We measure unsafe drinking water using the number of age-standardized disability-adjusted life-years lost per 100,000 persons (DALY rate) due to exposure to unsafe drinking water. A score of 100 indicates a country has among the lowest DALY rates in the world (≤1st-percentile), while a score of 0 indicates a country is among the highest (≥99th-percentile). Data for this indicator come from the  Institute for Health Metrics & Evaluation’s (IHME) Global Burden of Disease (GBD) study."
IssueCategory	HMT	Heavy Metals		Environmental Health	2.00%	"The Heavy Metals issue category measures the direct impacts of heavy metal pollution exposure on human health in each country. It is based on one indicator, lead exposure."
Indicator	LED	Lead exposure	Heavy Metals	Environmental Health	2.00%	"We measure lead exposure using the number of age-standardized disability-adjusted life-years lost per 100,000 persons (DALY rate) due to lead contamination in the environment. A score of 100 indicates a country has among the lowest DALY rates in the world (≤1st-percentile), while a score of 0 indicates a country is among the highest (≥99th-percentile). Data for this indicator come from the  Institute for Health Metrics & Evaluation’s (IHME) Global Burden of Disease (GBD) study."
IssueCategory	WMG	Solid Waste		Environmental Health	1.00%	"The Waste Management issue category recognizes the threats of solid waste to human and environmental health. It is based on three indicators: municipal solid waste generation per capita, controlled solid waste, and recovery of energy and materials from waste."
Indicator	WPC	Waste Generated Per Capita	Waste Management	Environmental Health	0.40%	We measure the total municipal solid waste produced per person each year.
Indicator	SMW	Controlled Solid Waste	Waste Management	Environmental Health	0.20%	"Controlled solid waste refers to the percentage of household and commercial waste generated in a country that is collected and treated in a manner that controls environmental risks. This metric counts waste as “controlled” if it is treated through recycling, composting, anaerobic digestion, incineration, or disposed of in a sanitary landfill. A score of 100 indicates a country controls 100% of its waste in a sustainable way, while a score of 0 indicates a country fails either to control any of its  solid waste or to collect and report data on the fate of its solid waste. "
Indicator	WRR	Waste Recovery Rate	Waste Management	Environmental Health	0.40%	"We assess the quality of municipal solid waste management by rewarding waste treatment methods that mitigate environmental impacts and recover materials and energy (composting, anaerobic digestion, incineration with energy recovery, and recyling), thereby contributing to a circular economy. "
PolicyObjective	PCC	Climate Change 			30.00%	TheClimate Change policy objective comprises 30% of the total EPI score and is made up of a single issue category: Climate Change Mitigation.
IssueCategory	CCH	Climate Change Mitigation		Climate Change 	30.00%	"The Climate Change Mitigation issue category measures progress to combat global climate change, which exacerbates other environmental threats and imperils human health and safety. It is composed of 11 indicators: adjusted emission growth rates for four greenhouse gases (CO2, CH4, F-gases, and N2O) and one climate pollutant (black carbon); adjusted emission growth rates of carbon dioxide with country-specific targets based on their allocated share of the remaining carbon budget, projected greenhouse gas emissions in 2050 and projected cumulative emissions to 2050 relative to countries' allocated share of the remaining carbon budget; net carbon fluxes from land cover change; and GHG growth rate adjusted by either emissions intensity or by per capita emissions."
Indicator	CDA	Adjusted emissions growth rate for carbon dioxide	Climate Change Mitigation	Climate Change 	7.50%	"We calculate the CO2 growth rate indicator as the average annual rate of CO2 emissions over the years 2013–2022. We then adjust for economic trends to isolate change due to policy effort rather than economic fluctuation. A score of 100 indicates a country is cutting emissions by ≥13% per year, and a score of 0 indicates emissions are rising ≥13% per year. Data are from the 2023 Global Carbon Budget. "
Indicator	CDF	Adjusted emissions growth rate for carbon dioxide (country-specific targets)	Climate Change Mitigation	Climate Change 	0.50%	"This pilot indicator measures the average annual growth rate of CO2 emissions over the years 2013–2022, adjusting for economic trends to isolate change due to policy effort rather than economic fluctuation. A score of 100 indicates a country is on track to stay within its allocated share of the remaining carbon budget by 2050, while a score of 0 indicates a country is on track to reach 2050 using more than 10 times is allocated share of the budget. Data are from the 2023 Global Carbon Budget. "
Indicator	CHA	Adjusted emissions growth rate for methane	Climate Change Mitigation	Climate Change 	3.00%	"We calculate the CH4 growth rate indicator as the average annual rate of CH4 emissions over the years 2013-2022. We then adjust for economic trends to isolate change due to policy effort rather than economic fluctuation. A score of 100 indicates a country is cutting emissions by ≥5% per year, and a score of 0 indicates emissions are rising ≥5% per year. Data are drawn from the PRIMAP-hist dataset of historical emissions."
Indicator	FGA	Adjusted emissions growth rate for F-gases	Climate Change Mitigation	Climate Change 	2.00%	"We calculate the F-gases growth rate indicator as the average annual rate of F-gases emissions over the years 2013-2022. A score of 100 indicates a country is cutting emissions by ≥12% per year, and a score of 0 indicates emissions are rising ≥12% per year. Data are drawn from the PRIMAP-hist dataset of historical emissions."
Indicator	NDA	Adjusted emissions growth rate for nitrous oxide	Climate Change Mitigation	Climate Change 	1.00%	"We calculate the nitrous oxide growth rate indicator as the average annual rate of nitrous oxide emissions over the years 2013-2022. We then adjust for economic trends to isolate change due to policy effort rather than economic fluctuation.  A score of 100 indicates a country is cutting emissions by ≥5% per year, and a score of 0 indicates emissions are rising ≥5% per year. Data are drawn from the PRIMAP-hist dataset of historical emissions."
Indicator	BCA	Adjusted emissions growth rate for black carbon	Climate Change Mitigation	Climate Change 	1.50%	"We calculate the black carbon growth rate indicator as the average annual rate of black carbon emissions over the years 2013-2022. We then adjust for economic trends to isolate change due to policy effort rather than economic fluctuation.  A score of 100 indicates a country is cutting emissions by ≥5% per year, and a score of 0 indicates emissions are rising ≥5% per year. Data are drawn from the Community Emissions Data System (CEDS)."
Indicator	LUF	Net carbon fluxes due to land cover change	Climate Change Mitigation	Climate Change 	1.00%	"The sum of carbon fluxes (both emissions and sinks) from land use, land cover change, and forestry over the last decade, normalized by countries’ forested area. A score of 100 indicates that a country's forested land as as sink of 0.5 Gg of CO2 per hectare, while a score of 0 indicates a source of the same magnitude per hectare. Data comes from the 2023 Global Carbon Budget."
Indicator	GTI	GHG growth rate adjusted by emissions intensity	Climate Change Mitigation	Climate Change 	6.00%	Average annual growth rate in greenhouse gas emissions over the last decade adjusted to account for declines in GDP and for how close countries are to a target of zero emissions intensity of GDP.
Indicator	GTP	GHG growth rate adjusted by per capita emissions	Climate Change Mitigation	Climate Change 	6.00%	Average annual growth rate in greenhouse gas emissions over the last decade adjusted to account for declines in GDP and for how close countries are to a target of zero emissions per capita.
Indicator	GHN	Projected emissions in 2050	Climate Change Mitigation	Climate Change 	1.00%	"The projected emissions levels in 2050 indicator captures whether countries are on track to reach zero emissions of four greenhouse gases by 2050. These greenhouse gases include carbon dioxide, methane, fluorinated gases, and nitrous oxide. We calculate the average rate of increase or decrease in emissions over ten years (2013 – 2022) and extrapolate this trend to 2050, projecting the level of emissions in that same year. Extrapolation is an appropriate way to gauge which countries have begun adequately reducing emissions and highlight which countries are not on track to meet the 2050 climate target. Projected 2050 emissions equal to or below zero receive the maximum score."
Indicator	CBP	Projected cumulative emissions to 2050 relative to carbon budget	Climate Change Mitigation	Climate Change 	0.50%	"This pilot indicator of projected cumulative emissions to 2050 indicator captures whether countries exceed their allocated share of the remaining carbon budget in the decarbonization journey until 2050. The indicator includes emissions of carbon dioxide, methane, fluorinated gases, and nitrous oxide. We calculate the average rate of increase or decrease in emissions over ten years (2013 – 2022) and extrapolate this trend to 2050, summing cumulative emissions until that year. A score of 100 indicates that a country is projected to stay within its allocated share of the budget, while a score of 0 indicates that the country is projected to exceed its share of the budget more than 10 times. "
